順位,作品タイトル(続編物はある時点での名前になっています）,Twitterアカウント,フォロワー数
340,機動戦士ガンダム THE ORIGIN 前夜 赤い彗星,G_THE_ORIGIN,44049
341,さらざんまい,sarazanmai,43981
342,不滅のあなたへ,nep_fumetsu,43830
343,2.43 清陰高校男子バレー部,243anime,43808
344,錆喰いビスコ,SABIKUI_BISCO,43760
345,この美術部には問題がある！,konobi_anime,43259
346,風都探偵,anime_Fuuto,43171
347,終末のワルキューレ,ragnarok_PR,43167
348,ぐらんぶる,gb_anime,42774
349,不機嫌なモノノケ庵,mononokean_tv,42374
350,ハナヤマタ,hanayamata_PR,42274
351,フューチャーカード バディファイト トリプルディー,buddyfight,42267
352,となりの吸血鬼さん,kyuketsuki_san,41417
353,ゲゲゲの鬼太郎(第6期),kitaroanime50th,41379
354,ラブオールプレー,loveallplay2022,41348
355,王室教師ハイネ,heine_PR,41022
356,宇宙戦艦ヤマト2202 愛の戦士たち,new_yamato_2199,40981
357,ダンベル何キロ持てる？,dumbbell_anime,40877
358,ペルソナ4 ザ・ゴールデン,P4_A,40622
359,プリンス・オブ・ストライド オルタナティブ,posa_anime,40604
360,みるタイツ,mirutights,40543
361,天才王子の赤字国家再生術,tensaiouji_PR,40465
362,ガンダムビルドダイバーズ,gundambd,40330
363,クズの本懐,kuzunohonkai_tv,40316
364,SELECTION PROJECT,pj_selection,40295
365,ドメスティックな彼女,domekano_anime,40166
366,精霊幻想記,seireigensouki,39447
367,ネトゲの嫁は女の子じゃないと思った？,netoge_anime,39292
368,銀の匙 Silver Spoon,ezono_official,39280
369,ダーウィンズゲーム,d_game_official,39223
370,落第騎士の英雄譚,ittoshura,39126
371,白猫プロジェクト ZERO CHRONICLE,anime_wcatpj,39048
372,りゅうおうのおしごと！,Ryuoshi_PR,39045
373,ULTRAMAN,heros_ultraman,38900
374,くノ一ツバキの胸の内,tsubaki_anime,38854
375,ワンダーエッグ・プライオリティ,WEP_anime,38662
376,アオアシ,aoashi_pr,38597
377,DRIFTERS(ドリフターズ),DriftersAnime,38454
378,怪盗ジョーカー(シーズン3),mjoker_anime,38360
379,イロドリミドリ,irodorimidori5,38352
380,この音とまれ！,konooto_anime,38180
381,シャインポスト,SHINEPOST_PJ,37719
382,進撃！巨人中学校,anime_kyojinchu,37389
383,夢王国と眠れる100人の王子様,yume100anime_PR,37165
384,東京ミュウミュウ にゅ～♡,mew_mew_new,37163
385,フレームアームズ・ガール,fagirl_official,37061
386,魔王イブロギアに身を捧げよ,af_originalBL,36940
387,ハコヅメ～交番女子の逆襲～,hakozume_anime,36733
388,バーチャルさんはみている,dwangoanime,36664
389,スロウスタート,slosta_anime,36621
390,レヱル・ロマネスク,rail_romanesque,36529
391,山田くんと7人の魔女,yamajo_anime,36331
392,妹さえいればいい。,imotosae_anime,36245
393,こみっくがーるず,comiga_anime,36107
394,プラオレ！～PRIDE OF ORANGE～,puraore,35967
395,キノの旅-the Beautiful World- the Animation Series,kinonotabianime,35916
396,BNA ビー・エヌ・エー,bna_anime,35756
397,失格紋の最強賢者,shikkakumon_PR,35528
398,アルドノア・ゼロ,aldnoahzero,35340
399,ゲーマーズ！,gamers_tvanime,35061
400,蒼の彼方のフォーリズム,aokana_TVanime,35049
401,うしおととら,Ushitora_TV,34830
402,22/7,227anime,34790
403,シドニアの騎士,SIDONIA_anime,34746
404,犬と猫どっちも飼ってると毎日たのしい,tva_dog_and_cat,34727
405,ちはやふる3,chihaya_anime,34571
406,グリザイアの果実,grisaia_anime,34339
407,RE-MAIN,remain_anime,34153
408,可愛ければ変態でも好きになってくれますか？,hensuki_anime,34102
409,うたわれるもの 二人の白皇,UtawareAnime,33927
410,裏世界ピクニック,OthersidePicnic,33853
411,バキ・最凶死刑囚編,baki_anime,33412
412,青春×機関銃,aoharu_anime,33355
413,無彩限のファントム・ワールド,anime_PW,33311
414,恋は世界征服のあとで,koiseka_anime,33225
415,ミラキュラス レディバグ＆シャノワール,miraculousjp,33189
416,RWBY 氷雪帝国,TeamRWBYProject,33066
417,神様はじめました◎,mikagesha,33031
418,未確認で進行形,mikakunin_anime,32940
419,大正オトメ御伽話,otome_otogi,32877
420,僕だけがいない街,bokumachi_anime,32829
421,アニメガタリズ,animegataris,32594
422,生徒会役員共＊,seitokai0428,32433
423,天体のメソッド,sora_no_method,32378
424,かげきしょうじょ!!,kageki_anime,32310
425,のうりん,norin_anime,32267
426,ふらいんぐうぃっち,flying_tv,32265
427,ReLIFE,ReLIFE_anime,32242
428,世界最高の暗殺者、異世界貴族に転生する,ansatsu_kizoku,32014
429,月が導く異世界道中,tsukimichi_PR,31984
430,キズナイーバー,kiznaiver,31919
431,最近雇ったメイドが怪しい,maidga_ayashii,31829
432,勇者、辞めます,yuuyame_anime,31788
433,最遊記RELOAD BLAST,saiyuki_rb,31650
434,ぼくたちのリメイク,bokurema_anime,31616
435,ツインエンジェルBREAK,TA_Official,31597
436,アオハライド,aoha_anime,31525
437,双星の陰陽師,sousei_PR,31507
438,Z/X Code reunion,zxtcg,31204
439,Re:ステージ！ ドリームデイズ♪,rst_project,31126
440,アイ★チュウ,ichu_anime,31106
441,Lostorage incited WIXOSS,wixoss_anime,31018
442,ニンジャラ,Ninjala_JP,30978
443,幕末Rock,bakumatsu69,30951
444,異世界はスマートフォンとともに。,isesumaofficial,30728
445,無能なナナ,munounanana,30715
446,DAYS,days_anime,30596
447,GATE 自衛隊 彼の地にて、斯く戦えり,gate_anime,30524
448,Dance with Devils,DwD_info,30499
449,Rewrite,rewrite_tv,30468
450,オリエント,orient_PR,30434
451,RELEASE THE SPYCE,releasethespyce,30329
452,ランウェイで笑って,runway_anime,30183
453,学園ベビーシッターズ,gakubaby_anime,29920
454,うらら迷路帖,urarameiro,29906
455,アカメが斬る！,akame_tv,29702
456,スーパーカブ,supercub_anime,29700
457,トライブナイン,tribenine_tokyo,29535
458,神之塔 -Tower of God-,anime_ToG,29435
459,坂本ですが？,sakamoto_anime,29421
460,刀使ノ巫女,tojinomiko,29264
461,ベイブレードバースト 神(ゴッド),beyblade_info,29155
462,アクティヴレイド －機動強襲室第八係－,activeraid,29131
463,あそびあそばせ,asobiasobase_a,28947
464,曇天に笑う,donten_pr,28852
465,群青のファンファーレ,fanfare_anime,28840
466,亜人(デミ)ちゃんは語りたい,demichan_anime,28628
467,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？,okaasan_online,28610
468,はたらく細胞BLACK,cellsatworkbla1,28559
469,GREAT PRETENDER,GrePre_anime,28475
470,異世界迷宮でハーレムを,isekaiharem_ani,28470
471,三者三葉,sansya_anime,28424
472,女子高生の無駄づかい,jyoshimuda,28410
473,咲-Saki-全国編,SakiAnime,28363
474,スローループ,slowloop_tv,28311
475,虹色デイズ,rainbow_days_tv,28260
476,残響のテロル,zankyono_terror,28175
477,終末なにしてますか？ 忙しいですか？ 救ってもらっていいですか？,sukasuka_anime,28144
478,灰と幻想のグリムガル,grimgar_anime,28136
479,メジャーセカンド,major2nd_tv,28099
480,猫のニャッホ,NiaghoCat,28079
481,ハイスコアガール,hi_score_girl,28059
482,指先から本気の熱情 2-恋人は消防士-,af_originalTL,28013
483,少女終末旅行,girls_last_tour,27950
484,機動戦士ガンダム サンダーボルト,gundam_tb,27810
485,100万の命の上に俺は立っている,1000000_lives,27790
486,ブラック★★ロックシューター DAWN FALL,project_brsDF,27712
487,普通の女子校生が 【ろこどる】やってみた。,locodol_anime,27674
488,異世界食堂,nekoya_PR,27545
489,一週間フレンズ,1weekfriends,27532
490,Re:CREATORS(レクリエイターズ),recreators_tv,27410
491,風が強く吹いている,kazetsuyo_anime,27334
492,ハッピーシュガーライフ,happysugarlifeA,27333
493,MARGINAL#4 KISSから創造るBig Bang,marginal4_anime,27173
494,リーマンズクラブ,rymansclub_PR,27148
495,ももくり,momokuri_anime,27143
496,バトルスピリッツ烈火魂(バーニングソウル),bs_animation,26914
497,戦闘員、派遣します！,sentoin_anime,26866
498,異種族レビュアーズ,isyuzoku,26854
499,からくりサーカス,karakuri_anime,26747
500,ラーメン大好き小泉さん,ramen_koizumi,26693
501,灼熱カバディ,kabaddi_anime,26650
502,戦翼のシグルドリーヴァ,sigururi,26596
503,昭和元禄落語心中,rakugoshinju,26591
504,ゆらぎ荘の幽奈さん,yuragisou_anime,26580
505,くま クマ 熊 ベアー,kumabear_anime,26575
506,ド級編隊エグゼロス,hxeros_anime,26528
507,監獄学園(プリズンスクール),prison_anime,26449
508,ALL OUT!!,allout_anime,26363
509,究極進化したフルダイブRPGが現実よりもクソゲーだったら,fulldive_anime,26218
510,うちタマ?! ～うちのタマ知りませんか？～,uchitama_anime,26136
511,25歳の女子高生,ComicFestaAnime,25811
512,キャロル＆チューズデイ,carole_tuesday,25660
513,ゴジラ S.P ＜シンギュラポイント＞,GODZILLA_SP,25620
514,Just Because!,JustBecause_JP,25619
515,One Room,anime_one_room,25575
516,覇弓 封神演義,hoshinengi_tv,25509
517,装甲娘戦機,soumusu_anime,25301
518,selector infected WIXOSS,selector_anime,25299
519,川柳少女,senryu_anime,25278
520,現実主義勇者の王国再建記,genkoku_info,25278
521,月がきれい,tsukigakirei_tv,25149
522,ゴッドイーター,god_eater_anime,25033
523,東京24区,tokyo24_project,24949
524,エスタブライフ グレイトエスケープ,establife,24939
525,魔法陣グルグル,magical_grgr,24927
526,ナンバカ,nanbaka_tv,24881
527,異能バトルは日常系のなかで,inou_PR,24861
528,アクダマドライブ,akudamadrive,24812
529,啄木鳥探偵處,kitsutsuki_DO,24810
530,ベルセルク,berserk_anime,24795
